Regions;Year;Technology;Electricity Installed Capacity (MW);log_expol;area_potential;tech_potential
AUT;2047;Solar photovoltaic;;101873.47632506449;90958.46100452187;101873.47632506449
AUT;2048;Onshore wind energy;;22618.798781122277;27734.018066215565;31200.77032449251
AUT;2048;Solar photovoltaic;;102328.26863008711;90958.46100452187;102328.26863008711
AUT;2049;Onshore wind energy;;23381.955253538865;27734.018066215565;31339.440414823588
AUT;2049;Solar photovoltaic;;102783.06093510972;90958.46100452187;102783.06093510972
AUT;2050;Onshore wind energy;;24113.91077590554;27734.018066215565;31478.110505154666
AUT;2050;Solar photovoltaic;;103237.85324013233;90958.46100452187;103237.85324013233
AUT;2051;Onshore wind energy;;24812.707747675653;27734.018066215565;31616.780595485743
AUT;2051;Solar photovoltaic;;103692.64554515493;90958.46100452187;103692.64554515493
AUT;2052;Onshore wind energy;;25476.914335505357;27734.018066215565;31755.450685816824
AUT;2052;Solar photovoltaic;;104147.43785017755;90958.46100452187;104147.43785017755
AUT;2053;Onshore wind energy;;26105.603155830486;27734.018066215565;31894.1207761479
AUT;2053;Solar photovoltaic;;104602.23015520016;90958.46100452187;104602.23015520016
AUT;2054;Onshore wind energy;;26698.317993929737;27734.018066215565;32032.79086647898
AUT;2054;Solar photovoltaic;;105057.02246022277;90958.46100452187;105057.02246022277
AUT;2055;Onshore wind energy;;27255.03148140563;27734.018066215565;32171.460956810057
AUT;2055;Solar photovoltaic;;105511.81476524538;90958.46100452187;105511.81476524538
AUT;2056;Onshore wind energy;;27776.096650639996;27734.018066215565;32310.131047141134
AUT;2056;Solar photovoltaic;;105966.60707026799;90958.46100452187;105966.60707026799
AUT;2057;Onshore wind energy;;28262.19509692079;27734.018066215565;32448.801137472212
AUT;2057;Solar photovoltaic;;106421.3993752906;90958.46100452187;106421.3993752906
AUT;2058;Onshore wind energy;;28714.284158662264;27734.018066215565;32587.47122780329
AUT;2058;Solar photovoltaic;;106876.1916803132;90958.46100452187;106876.1916803132
AUT;2059;Onshore wind energy;;29133.545125808723;27734.018066215565;32726.141318134367
AUT;2059;Solar photovoltaic;;107330.98398533581;90958.46100452187;107330.98398533581
AUT;2060;Onshore wind energy;;29521.334053158625;27734.018066215565;32864.811408465444
AUT;2060;Solar photovoltaic;;107785.77629035842;90958.46100452187;107785.77629035842
BALT;2000;Onshore wind energy;2.0;;22773.99652848473;20154.986927708986
BALT;2001;Onshore wind energy;2.0;;22773.99652848473;20268.85691035141
BALT;2002;Onshore wind energy;22.0;;22773.99652848473;20382.726892993836
BALT;2003;Onshore wind energy;26.0;;22773.99652848473;20496.596875636256
BALT;2004;Onshore wind energy;27.0;;57809.47921188637;52317.57868675717
BALT;2005;Onshore wind energy;27.0;;57809.47921188637;52606.6260828166
BALT;2006;Onshore wind energy;57.0;;57809.47921188637;52895.67347887604
BALT;2007;Onshore wind energy;73.0;;57809.47921188637;53184.72087493546
BALT;2008;Onshore wind energy;82.0;;57809.47921188637;53473.7682709949
BALT;2008;Solar photovoltaic;0.1;;115655.32799663668;106981.17839688894
BALT;2009;Onshore wind energy;127.0;;57809.47921188637;53762.815667054325
BALT;2009;Solar photovoltaic;0.1;;115655.32799663668;107559.45503687211
BALT;2010;Onshore wind energy;163.0;;57809.47921188637;54051.863063113764
BALT;2010;Solar photovoltaic;0.1;;115655.32799663668;108137.7316768553
BALT;2011;Onshore wind energy;238.0;;57809.47921188637;54340.91045917319
BALT;2011;Solar photovoltaic;0.3;;115655.32799663668;108716.00831683849
BALT;2012;Onshore wind energy;334.0;;57809.47921188637;54629.95785523263
BALT;2012;Solar photovoltaic;7.0;;115655.32799663668;109294.28495682166
BALT;2013;Onshore wind energy;344.892;;57809.47921188637;54919.00525129205
BALT;2013;Solar photovoltaic;68.0;;115655.32799663668;109872.56159680485
BALT;2014;Onshore wind energy;356.915;;57809.47921188637;55208.052647351484
BALT;2014;Solar photovoltaic;69.0;;115655.32799663668;110450.83823678803
BALT;2015;Onshore wind energy;504.165;;57809.47921188637;55497.100043410916
BALT;2015;Solar photovoltaic;69.0;;115655.32799663668;111029.11487677121
BALT;2016;Onshore wind energy;578.905;;57809.47921188637;55786.147439470355
BALT;2016;Solar photovoltaic;70.69;;260976.1018375111;251841.9382731982
BALT;2017;Onshore wind energy;595.105;;57809.47921188637;56075.19483552978
BALT;2017;Solar photovoltaic;74.44099999999999;;260976.1018375111;253146.81878238576
BALT;2018;Onshore wind energy;611.172;;57809.47921188637;56364.24223158921
BALT;2018;Solar photovoltaic;83.962;;260976.1018375111;254451.6992915733
BALT;2019;Onshore wind energy;612.172;;57809.47921188637;56653.28962764864
BALT;2019;Solar photovoltaic;106.302;;260976.1018375111;255756.57980076087
BALT;2020;Onshore wind energy;618.172;;57809.47921188637;56942.33702370808
BALT;2020;Solar photovoltaic;169.102;;260976.1018375111;257061.46030994842
BALT;2021;Onshore wind energy;748.129;;57809.47921188637;57231.384419767506
BALT;2021;Solar photovoltaic;262.155;;260976.1018375111;258366.340819136
BALT;2022;Onshore wind energy;1028.433;;57809.47921188637;57520.43181582694
BALT;2022;Solar photovoltaic;685.0;;260976.1018375111;259671.22132832353
BALT;2023;Onshore wind energy;1428.233;1242.7926931436814;57809.47921188637;57809.47921188637
BALT;2023;Solar photovoltaic;1518.0;1505.8583978570769;260976.1018375111;260976.1018375111
BALT;2024;Onshore wind energy;;1446.481754062952;57809.47921188637;58098.52660794581
BALT;2024;Solar photovoltaic;;3574.2770434912245;260976.1018375111;262280.98234669864
BALT;2025;Onshore wind energy;;1683.0034557159001;57809.47921188637;58387.57400400523
BALT;2025;Solar photovoltaic;;9128.516095920457;260976.1018375111;263585.86285588617
BALT;2026;Onshore wind energy;;1957.2487155558913;57809.47921188637;58676.621400064665
BALT;2026;Solar photovoltaic;;24564.712284197674;260976.1018375111;264890.74336507375
BALT;2027;Onshore wind energy;;2274.674999559999;57809.47921188637;58965.6687961241
BALT;2027;Solar photovoltaic;;63203.51203971729;260976.1018375111;266195.6238742613
BALT;2028;Onshore wind energy;;2641.3115245781055;57809.47921188637;59254.716192183536
BALT;2028;Solar photovoltaic;;129592.0235773587;260976.1018375111;267500.50438344886
BALT;2029;Onshore wind energy;;3063.738810459442;57809.47921188637;59543.76358824296
BALT;2029;Solar photovoltaic;;194159.66246864444;260976.1018375111;268805.38489263644
BALT;2030;Onshore wind energy;;3549.032851248775;57809.47921188637;59832.81098430239
BALT;2030;Solar photovoltaic;;222313.4230478026;260976.1018375111;270110.26540182397
BALT;2031;Onshore wind energy;;4104.662719471075;57809.47921188637;60121.858380361824
BALT;2031;Solar photovoltaic;;246083.6741335291;260976.1018375111;271415.14591101155
BALT;2032;Onshore wind energy;;4738.32959924676;57809.47921188637;60410.90577642126
BALT;2032;Solar photovoltaic;;264937.5081013099;260976.1018375111;272720.0264201991
BALT;2033;Onshore wind energy;;5457.735625275333;57809.47921188637;60699.95317248069
BALT;2033;Solar photovoltaic;;274024.90692938666;260976.1018375111;274024.90692938666
BALT;2034;Onshore wind energy;;6270.273196305138;57809.47921188637;60989.00056854012
BALT;2034;Solar photovoltaic;;275329.7874385742;260976.1018375111;275329.7874385742
BALT;2035;Onshore wind energy;;7182.630414944591;57809.47921188637;61278.04796459955
BALT;2035;Solar photovoltaic;;276634.6679477618;260976.1018375111;276634.6679477618
BALT;2036;Onshore wind energy;;8200.31666190912;57809.47921188637;61567.09536065899
BALT;2036;Solar photovoltaic;;277939.5484569493;260976.1018375111;277939.5484569493
BALT;2037;Onshore wind energy;;9327.124340134505;57809.47921188637;61856.142756718415
BALT;2037;Solar photovoltaic;;279244.4289661369;260976.1018375111;279244.4289661369
BALT;2038;Onshore wind energy;;10564.558059087285;57809.47921188637;62145.19015277785
BALT;2038;Solar photovoltaic;;280549.3094753244;260976.1018375111;280549.3094753244
BALT;2039;Onshore wind energy;;11911.279356227913;57809.47921188637;62434.23754883728
BALT;2039;Solar photovoltaic;;281854.18998451193;260976.1018375111;281854.18998451193
BALT;2040;Onshore wind energy;;13362.63046839412;57809.47921188637;62723.28494489672
BALT;2040;Solar photovoltaic;;283159.0704936995;260976.1018375111;283159.0704936995
BALT;2041;Onshore wind energy;;14910.310438276405;57809.47921188637;63012.33234095615
BALT;2041;Solar photovoltaic;;284463.9510028871;260976.1018375111;284463.9510028871
BALT;2042;Onshore wind energy;;16542.276269606577;57809.47921188637;63301.37973701557
BALT;2042;Solar photovoltaic;;285768.8315120747;260976.1018375111;285768.8315120747
BALT;2043;Onshore wind energy;;18242.927169327777;57809.47921188637;63590.42713307501
BALT;2043;Solar photovoltaic;;287073.71202126215;260976.1018375111;287073.71202126215
BALT;2044;Onshore wind energy;;19993.600076184655;57809.47921188637;63879.474529134444
BALT;2044;Solar photovoltaic;;288378.59253044974;260976.1018375111;288378.59253044974
BALT;2045;Onshore wind energy;;21773.362750018045;57809.47921188637;64168.521925193876
BALT;2045;Solar photovoltaic;;289683.4730396373;260976.1018375111;289683.4730396373
BALT;2046;Onshore wind energy;;23560.044162382448;57809.47921188637;64457.56932125331
BALT;2046;Solar photovoltaic;;290988.3535488249;260976.1018375111;290988.3535488249
BALT;2047;Onshore wind energy;;25331.401184692666;57809.47921188637;64746.61671731274
BALT;2047;Solar photovoltaic;;292293.23405801243;260976.1018375111;292293.23405801243
BALT;2048;Onshore wind energy;;27066.29589106274;57809.47921188637;65035.66411337217
BALT;2048;Solar photovoltaic;;293598.11456719995;260976.1018375111;293598.11456719995
BALT;2049;Onshore wind energy;;28745.75581411744;57809.47921188637;65324.7115094316
BALT;2049;Solar photovoltaic;;294902.99507638754;260976.1018375111;294902.99507638754
BALT;2050;Onshore wind energy;;30353.810755863284;57809.47921188637;65613.75890549103
BALT;2050;Solar photovoltaic;;296207.87558557506;260976.1018375111;296207.87558557506
BALT;2051;Onshore wind energy;;31878.038507074365;57809.47921188637;65902.80630155047
BALT;2051;Solar photovoltaic;;297512.75609476265;260976.1018375111;297512.75609476265
BALT;2052;Onshore wind energy;;33309.79815603734;57809.47921188637;66191.8536976099
BALT;2052;Solar photovoltaic;;298817.6366039502;260976.1018375111;298817.6366039502
BALT;2053;Onshore wind energy;;34644.17295472624;57809.47921188637;66480.90109366932
BALT;2053;Solar photovoltaic;;300122.51711313776;260976.1018375111;300122.51711313776
BALT;2054;Onshore wind energy;;35879.67685167367;57809.47921188637;66769.94848972876
BALT;2054;Solar photovoltaic;;301427.39762232534;260976.1018375111;301427.39762232534
BALT;2055;Onshore wind energy;;37017.79597405387;57809.47921188637;67058.9958857882
BALT;2055;Solar photovoltaic;;302732.27813151287;260976.1018375111;302732.27813151287
BALT;2056;Onshore wind energy;;38062.43900673065;57809.47921188637;67348.04328184763
BALT;2056;Solar photovoltaic;;304037.1586407004;260976.1018375111;304037.1586407004
BALT;2057;Onshore wind energy;;39019.36201315946;57809.47921188637;67637.09067790705
BALT;2057;Solar photovoltaic;;305342.039149888;260976.1018375111;305342.039149888
BALT;2058;Onshore wind energy;;39895.61843048101;57809.47921188637;67926.13807396649
BALT;2058;Solar photovoltaic;;306646.91965907556;260976.1018375111;306646.91965907556
BALT;2059;Onshore wind energy;;40699.06812896609;57809.47921188637;68215.18547002593
BALT;2059;Solar photovoltaic;;307951.8001682631;260976.1018375111;307951.8001682631
BALT;2060;Onshore wind energy;;41437.96378347679;57809.47921188637;68504.23286608535
BALT;2060;Solar photovoltaic;;309256.68067745067;260976.1018375111;309256.68067745067
BEL;2000;Onshore wind energy;14.0;;20089.570893264998;17779.270240539525
BEL;2001;Onshore wind energy;26.0;;20089.570893264998;17879.718095005846
BEL;2002;Onshore wind energy;31.0;;20089.570893264998;17980.16594947217
BEL;2002;Solar photovoltaic;1.0;;41646.60183553597;37273.70864280469
BEL;2003;Onshore wind energy;67.0;;20089.570893264998;18080.613803938497
BEL;2003;Solar photovoltaic;1.0;;41646.60183553597;37481.94165198237
BEL;2004;Onshore wind energy;96.0;;20089.570893264998;18181.061658404822
