Object_class;Object_names;Parameter_name;Alternative;Paramter_value
unit;Wind|WIND_OFFSHOREInvest4|BRB;candidate_units;Base;11.761947889928596
unit;Solar|PVInvest0|BRN;candidate_units;Base;2.570163956839976
unit;Solar|PVInvest1|BRN;candidate_units;Base;2.570163956827755
unit;Solar|PVInvest2|BRN;candidate_units;Base;2.5701639568644197
unit;Solar|PVInvest3|BRN;candidate_units;Base;2.5701639568338663
unit;Solar|PVInvest4|BRN;candidate_units;Base;2.5701639568338637
unit;Solar|PVInvest0|BTN;candidate_units;Base;5.570458153841634
unit;Solar|PVInvest1|BTN;candidate_units;Base;5.781569341666004
unit;Solar|PVInvest2|BTN;candidate_units;Base;5.800188193884878
unit;Solar|PVInvest3|BTN;candidate_units;Base;5.870100778978239
unit;Solar|PVInvest4|BTN;candidate_units;Base;5.882277446279136
unit;Wind|WINDInvest0|BTN;candidate_units;Base;1.0556351737934697
unit;Wind|WINDInvest1|BTN;candidate_units;Base;1.0556351737911387
unit;Wind|WINDInvest2|BTN;candidate_units;Base;1.0556351737923044
unit;Wind|WINDInvest3|BTN;candidate_units;Base;1.0556351738039524
unit;Wind|WINDInvest4|BTN;candidate_units;Base;1.0556351737923044
unit;Solar|PVInvest0|BWA;candidate_units;Base;1010.4194506408157
unit;Solar|PVInvest1|BWA;candidate_units;Base;1055.8839539213682
unit;Solar|PVInvest2|BWA;candidate_units;Base;1065.9675211406052
unit;Solar|PVInvest3|BWA;candidate_units;Base;1068.8835214428912
unit;Solar|PVInvest4|BWA;candidate_units;Base;1076.3392019192104
unit;Wind|WINDInvest0|BWA;candidate_units;Base;468.71231759400894
unit;Wind|WINDInvest1|BWA;candidate_units;Base;468.71231759490263
unit;Wind|WINDInvest2|BWA;candidate_units;Base;468.712317593049
unit;Wind|WINDInvest3|BWA;candidate_units;Base;468.7123175934968
unit;Wind|WINDInvest4|BWA;candidate_units;Base;468.71231759430754
unit;Solar|PVInvest0|CAF;candidate_units;Base;1434.4421104333778
unit;Solar|PVInvest1|CAF;candidate_units;Base;1442.009325846217
unit;Solar|PVInvest2|CAF;candidate_units;Base;1452.1445069885149
unit;Solar|PVInvest3|CAF;candidate_units;Base;1455.07246359488
unit;Solar|PVInvest4|CAF;candidate_units;Base;1461.186912008054
unit;Wind|WINDInvest0|CAF;candidate_units;Base;508.29812410413496
unit;Wind|WINDInvest1|CAF;candidate_units;Base;508.29812410310996
unit;Wind|WINDInvest2|CAF;candidate_units;Base;508.29812410355504
unit;Wind|WINDInvest3|CAF;candidate_units;Base;508.29812410429304
unit;Wind|WINDInvest4|CAF;candidate_units;Base;508.29812410593
unit;Solar|PVInvest0|CAN;candidate_units;Base;2995.5741708915302
unit;Solar|PVInvest1|CAN;candidate_units;Base;3153.7373126533134
unit;Solar|PVInvest2|CAN;candidate_units;Base;3245.920545741244
unit;Solar|PVInvest3|CAN;candidate_units;Base;3292.5107516280736
unit;Solar|PVInvest4|CAN;candidate_units;Base;3355.6127211184694
unit;Wind|WINDInvest0|CAN;candidate_units;Base;6577.783848872019
unit;Wind|WINDInvest1|CAN;candidate_units;Base;7082.983313865102
unit;Wind|WINDInvest2|CAN;candidate_units;Base;7421.909110426937
unit;Wind|WINDInvest3|CAN;candidate_units;Base;8031.568084031607
unit;Wind|WINDInvest4|CAN;candidate_units;Base;8524.960607400884
unit;Wind|WIND_OFFSHOREInvest0|CAN;candidate_units;Base;7066.354075860557
unit;Wind|WIND_OFFSHOREInvest1|CAN;candidate_units;Base;7392.059991512375
unit;Wind|WIND_OFFSHOREInvest2|CAN;candidate_units;Base;7580.845653928622
unit;Wind|WIND_OFFSHOREInvest3|CAN;candidate_units;Base;7734.8091898418725
unit;Wind|WIND_OFFSHOREInvest4|CAN;candidate_units;Base;7921.38718388763
unit;Solar|PVInvest0|CHE;candidate_units;Base;49.797563651799265
unit;Solar|PVInvest1|CHE;candidate_units;Base;49.95076636446895
unit;Solar|PVInvest2|CHE;candidate_units;Base;49.95076636386873
unit;Solar|PVInvest3|CHE;candidate_units;Base;49.95076636431258
unit;Solar|PVInvest4|CHE;candidate_units;Base;50.50015410717924
unit;Wind|WINDInvest0|CHE;candidate_units;Base;15.030671661162682
unit;Wind|WINDInvest1|CHE;candidate_units;Base;15.030671661047165
unit;Wind|WINDInvest2|CHE;candidate_units;Base;15.030671660995447
unit;Wind|WINDInvest3|CHE;candidate_units;Base;15.030671661277466
unit;Wind|WINDInvest4|CHE;candidate_units;Base;15.030671660963034
unit;Solar|PVInvest0|CHL;candidate_units;Base;997.4080109717609
unit;Solar|PVInvest1|CHL;candidate_units;Base;1021.0537176632579
unit;Solar|PVInvest2|CHL;candidate_units;Base;1027.9419732570932
unit;Solar|PVInvest3|CHL;candidate_units;Base;1031.7112774684547
unit;Solar|PVInvest4|CHL;candidate_units;Base;1034.2261174222308
unit;Wind|WINDInvest0|CHL;candidate_units;Base;300.36801693900725
unit;Wind|WINDInvest1|CHL;candidate_units;Base;300.36801694055924
unit;Wind|WINDInvest2|CHL;candidate_units;Base;300.36801694379164
unit;Wind|WINDInvest3|CHL;candidate_units;Base;300.36801693437513
unit;Wind|WINDInvest4|CHL;candidate_units;Base;300.36801694060983
unit;Wind|WIND_OFFSHOREInvest0|CHL;candidate_units;Base;726.0016763687717
unit;Wind|WIND_OFFSHOREInvest1|CHL;candidate_units;Base;733.8859489845552
unit;Wind|WIND_OFFSHOREInvest2|CHL;candidate_units;Base;747.2849280435333
unit;Wind|WIND_OFFSHOREInvest3|CHL;candidate_units;Base;762.6564690065557
unit;Wind|WIND_OFFSHOREInvest4|CHL;candidate_units;Base;790.4383650265002
unit;Solar|PVInvest0|CHN;candidate_units;Base;10969.204585942629
unit;Solar|PVInvest1|CHN;candidate_units;Base;12579.749378953888
unit;Solar|PVInvest2|CHN;candidate_units;Base;13109.700981099179
unit;Solar|PVInvest3|CHN;candidate_units;Base;13365.671794581542
unit;Solar|PVInvest4|CHN;candidate_units;Base;13572.129599486005
unit;Wind|WINDInvest0|CHN;candidate_units;Base;4289.397015190651
unit;Wind|WINDInvest1|CHN;candidate_units;Base;4974.421456169797
unit;Wind|WINDInvest2|CHN;candidate_units;Base;5787.923476855476
unit;Wind|WINDInvest3|CHN;candidate_units;Base;6147.3938258454355
unit;Wind|WINDInvest4|CHN;candidate_units;Base;6552.548066862222
unit;Wind|WIND_OFFSHOREInvest0|CHN;candidate_units;Base;1791.6048123888088
unit;Wind|WIND_OFFSHOREInvest1|CHN;candidate_units;Base;2015.7970458222283
unit;Wind|WIND_OFFSHOREInvest2|CHN;candidate_units;Base;2198.958773718481
unit;Wind|WIND_OFFSHOREInvest3|CHN;candidate_units;Base;2289.0047752137652
unit;Wind|WIND_OFFSHOREInvest4|CHN;candidate_units;Base;2300.4494614064083
unit;Solar|PVInvest0|CIV;candidate_units;Base;728.3729911215285
unit;Solar|PVInvest1|CIV;candidate_units;Base;731.6975332785645
unit;Solar|PVInvest2|CIV;candidate_units;Base;733.8275897883308
unit;Solar|PVInvest3|CIV;candidate_units;Base;739.145926352763
unit;Solar|PVInvest4|CIV;candidate_units;Base;749.6020127500339
unit;Wind|WINDInvest0|CIV;candidate_units;Base;267.60490928361514
unit;Wind|WINDInvest1|CIV;candidate_units;Base;267.60490928297827
unit;Wind|WINDInvest2|CIV;candidate_units;Base;267.6049092833947
unit;Wind|WINDInvest3|CIV;candidate_units;Base;267.6049092830546
unit;Wind|WINDInvest4|CIV;candidate_units;Base;267.60490928342483
unit;Solar|PVInvest0|CMR;candidate_units;Base;1036.7801530647653
unit;Solar|PVInvest1|CMR;candidate_units;Base;1055.5336612305991
unit;Solar|PVInvest2|CMR;candidate_units;Base;1063.149090822338
unit;Solar|PVInvest3|CMR;candidate_units;Base;1070.6442601643862
unit;Solar|PVInvest4|CMR;candidate_units;Base;1088.0268447705073
unit;Wind|WINDInvest0|CMR;candidate_units;Base;273.0606301253559
unit;Wind|WINDInvest1|CMR;candidate_units;Base;273.06063012430695
unit;Wind|WINDInvest2|CMR;candidate_units;Base;273.0606301253559
unit;Wind|WINDInvest3|CMR;candidate_units;Base;273.06063012430695
unit;Wind|WINDInvest4|CMR;candidate_units;Base;273.06063012745386
unit;Solar|PVInvest0|COD;candidate_units;Base;3752.1539338732005
